Name,Height (m),Height (ft),lat,long,
Ben Chonzie,931,3054,56.453339,-3.9924244,
Ben Vorlich,985.3,3233,56.34254,-4.2196495,
Stuc a' Chroin,973,3192,56.328725,-4.238258,
Ben Lomond,973.7,3195,56.189734,-4.6331056,
Ben More,1174,3852,56.385789,-4.5413166,
Stob Binnein,1165,3822,56.370597,-4.5370658,
Cruach Ardrain,1045.9,3431,56.3563,-4.5765879,
An Caisteal,995.9,3267,56.338195,-4.6255291,
Beinn Tulaichean,945.8,3103,56.342175,-4.564307,
Beinn a' Chroin,941.4,3089,56.331323,-4.6104962,
Beinn Chabhair,932.2,3058,56.325253,-4.6424337,
Ben Lui [Beinn Laoigh],1131.4,3712,56.396143,-4.8110328,
Ben Oss,1029,3376,56.388832,-4.7764656,
Beinn Dubhchraig,978,3209,56.390451,-4.7441747,
Beinn a' Chleibh,916.3,3006,56.390169,-4.8365197,
Ben Vorlich ,943,3094,56.27336,-4.7551643,
Beinn Ime,1012.2,3321,56.235976,-4.8186486,
Ben Vane,915.76,3004,56.249379,-4.7825008,
Beinn Narnain,927,3041,56.220445,-4.790082,
Beinn Bhuidhe,948.5,3112,56.326494,-4.9078278,
Schiehallion,1083,3553,56.666309,-4.10157,
Carn Mairg,1042,3419,56.634081,-4.1470639,
Carn Gorm,1029,3376,56.621905,-4.2262461,
Meall Garbh ,968,3176,56.636617,-4.2075442,
Meall na Aighean,981,3219,56.619997,-4.1299642,
Stuc an Lochain [Stuchd an Lochain],960,3150,56.570557,-4.4706735,
Meall Buidhe ,932.1,3058,56.616815,-4.449246,
Beinn Dorain,1076,3530,56.502368,-4.7230054,
Beinn an Dothaidh,1004,3294,56.529503,-4.7151951,
Beinn Achaladair,1038.6,3407,56.5515,-4.6956162,
Beinn a' Chreachain,1080.6,3545,56.559693,-4.6489979,
Beinn Mhanach,953,3127,56.533668,-4.6471796,
Ben Lawers,1214,3983,56.544702,-4.2217107,
An Stuc,1117.1,3665,56.560051,-4.2177282,
Meall Garbh,1123.1,3685,56.565611,-4.2082877,
Meall Greigh,1001,3284,56.567366,-4.1595582,
Beinn Ghlas,1103,3619,56.535434,-4.2374315,
Meall Corranaich,1069,3507,56.540526,-4.2539979,
Meall a' Choire Leith,925.6,3037,56.565573,-4.2603711,
Meall nan Tarmachan,1043.6,3424,56.520781,-4.3015981,
Meall Ghaordaidh,1039.8,3411,56.525772,-4.4173482,
Beinn Sheasgarnaich [Beinn Heasgarnich],1077.4,3535,56.509906,-4.5805037,
Creag Mhor,1046.8,3434,56.489415,-4.6148522,
Beinn Challuim [Ben Challum],1025,3363,56.454243,-4.6205492,
Meall Glas,959,3146,56.454865,-4.5475529,
Sgiath Chuil,920.1,3019,56.452296,-4.4970693,
Sgorr nam Fiannaidh (Aonach Eagach),967.7,3175,56.679332,-5.0378588,
Meall Dearg (Aonach Eagach),952.3,3124,56.680162,-5.0036323,
Stob Dearg (Buachaille Etive Mor),1021.4,3351,56.645736,-4.9013718,
Stob na Broige (Buachaille Etive Mor),953.4,3128,56.629258,-4.9522906,
Stob Dubh (Buachaille Etive Beag),958,3143,56.637803,-4.9709013,
Stob Coire Raineach (Buachaille Etive Beag) ,924.5,3033,56.649035,-4.9522055,
Bidean nam Bian,1149.4,3771,56.642669,-5.0300142,
Stob Coire Sgreamhach,1072,3517,56.637721,-5.0116741,
Sgorr Dhearg (Beinn a' Bheithir),1024,3360,56.65349,-5.1728596,
Sgorr Dhonuill (Beinn a' Bheithir),1001,3284,56.650131,-5.1986865,
Sgurr na h-Ulaidh [Sgor na h-Ulaidh],994,3261,56.618962,-5.0802858,
Beinn Fhionnlaidh ,959,3146,56.600373,-5.1048453,
Beinn Sgulaird,937,3074,56.565459,-5.1703638,
Ben Cruachan,1127,3698,56.42618,-5.1327995,
